index,carat,cut,color,clarity,depth,table,length (mm),width (mm),height (mm),year
9314,1.07,Premium,G,VS2,60.1,60.0,6.76,6.6,3.99,2023
9315,1.01,Ideal,G,VS2,59.7,57.0,6.49,6.44,3.86,2023
9316,1.21,Ideal,H,SI1,62.6,53.0,6.87,6.8,4.28,2023
9317,1.66,Good,F,I1,62.1,57.7,7.56,7.6,4.71,2023
9318,1.21,Premium,H,SI1,59.5,58.0,7.02,6.96,4.16,2023
9319,1.2,Premium,G,SI1,63.0,58.0,6.72,6.68,4.22,2023
9320,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,2023
9321,1.05,Very Good,G,VS2,60.1,55.0,6.65,6.73,4.02,2023
9322,1.5,Very Good,F,I1,63.2,57.0,7.29,7.24,4.59,2023
9323,1.0,Good,G,VS1,63.9,55.0,6.34,6.28,4.03,2023
9324,1.25,Ideal,H,SI2,61.6,55.0,6.89,6.94,4.26,2023
9325,1.0,Good,F,VS2,62.1,61.0,6.31,6.38,3.94,2023
9326,1.57,Premium,J,SI2,59.6,56.0,7.59,7.5,4.5,2023
9327,1.27,Very Good,I,VS2,63.3,63.0,6.87,6.82,4.33,2023
9328,1.14,Premium,F,SI1,61.1,59.0,6.75,6.7,4.11,2023
9329,1.03,Very Good,G,VS2,62.1,57.0,6.41,6.48,4.0,2023
9330,1.0,Premium,H,VVS2,60.3,59.0,6.46,6.41,3.88,2023
9331,1.01,Ideal,F,SI1,62.7,54.0,6.38,6.44,4.02,2023
9332,1.0,Very Good,D,SI1,61.4,63.0,6.35,6.41,3.92,2023
9333,1.07,Ideal,G,VS2,62.2,57.0,6.55,6.5,4.06,2023
9334,1.35,Very Good,I,SI2,61.0,60.0,7.09,7.15,4.34,2023
9335,1.15,Premium,D,SI1,61.7,58.0,6.76,6.69,4.15,2023
9336,1.01,Fair,F,VS2,69.0,61.0,6.06,5.99,4.16,2023
9337,1.3,Good,H,SI2,63.7,57.0,6.94,6.87,4.4,2023
9338,1.0,Ideal,E,VS2,62.0,55.0,6.42,6.38,3.97,2023
9339,1.09,Ideal,E,SI1,61.1,55.0,6.7,6.66,4.08,2023
9340,1.03,Ideal,F,SI1,61.3,57.0,6.47,6.53,3.98,2023
9341,1.13,Ideal,H,VS2,62.0,57.0,6.61,6.69,4.12,2023
9342,1.27,Ideal,G,SI2,61.8,56.0,6.96,6.93,4.29,2023
9343,1.26,Ideal,G,SI2,60.9,55.0,7.05,7.0,4.28,2023
9344,1.23,Ideal,H,SI1,62.3,57.0,6.89,6.85,4.28,2023
9345,1.51,Good,I,SI1,63.8,57.0,7.21,7.18,4.59,2023
9346,1.51,Good,I,SI1,63.8,57.0,7.21,7.18,4.59,2023
9347,1.01,Very Good,G,VS2,61.9,58.0,6.37,6.42,3.96,2023
9348,1.0,Premium,F,VS2,62.1,58.0,6.45,6.36,3.96,2023
9349,1.0,Premium,G,VS2,62.0,57.0,6.43,6.37,3.97,2023
9350,1.0,Premium,G,VS2,59.3,60.0,6.55,6.51,3.87,2023
9351,1.0,Premium,G,VS2,58.6,61.0,6.61,6.57,3.86,2023
9352,1.5,Premium,J,SI2,61.0,60.0,7.34,7.3,4.46,2023
9353,1.35,Ideal,J,VS1,62.3,54.0,7.17,7.06,4.43,2023
9354,1.0,Premium,G,VS2,61.6,58.0,6.43,6.39,3.95,2023
9355,0.3,Ideal,G,VS1,61.7,57.0,4.3,4.32,2.66,2023
9356,0.3,Premium,G,VS1,62.2,59.0,4.28,4.31,2.67,2023
9357,0.3,Ideal,F,VS2,62.0,54.0,4.31,4.34,2.68,2023
9358,0.3,Ideal,F,VS2,61.9,55.0,4.31,4.32,2.67,2023
9359,0.3,Very Good,F,VS2,62.9,57.0,4.26,4.29,2.69,2023
9360,0.3,Good,G,VS1,63.6,57.0,4.23,4.26,2.7,2023
9361,0.3,Very Good,F,VS2,62.8,55.0,4.27,4.33,2.7,2023
9362,0.3,Premium,G,VS1,61.9,59.0,4.3,4.32,2.67,2023
9363,0.3,Very Good,F,VS2,62.9,57.0,4.29,4.33,2.71,2023
9364,0.3,Premium,F,VS2,60.4,58.0,4.31,4.33,2.61,2023
9365,0.3,Very Good,H,VVS2,60.8,58.0,4.34,4.37,2.65,2023
9366,0.3,Ideal,G,VS1,62.0,54.0,4.3,4.35,2.68,2023
9367,0.3,Ideal,H,VVS2,62.1,56.0,4.28,4.32,2.67,2023
9368,0.3,Premium,F,VS2,61.5,60.0,4.26,4.29,2.63,2023
9369,0.3,Very Good,F,VS2,62.8,58.0,4.25,4.28,2.68,2023
9370,0.3,Premium,H,VVS2,60.8,60.0,4.29,4.33,2.62,2023
9371,0.3,Ideal,G,VS1,61.4,57.0,4.29,4.34,2.65,2023
9372,0.3,Ideal,F,VS2,61.6,57.0,4.3,4.33,2.66,2023
9373,0.3,Premium,F,VS2,61.6,58.0,4.29,4.31,2.65,2023
9374,1.07,Ideal,F,SI1,62.3,53.0,6.57,6.59,4.1,2023
9375,1.12,Premium,H,VS2,60.6,59.0,6.77,6.7,4.08,2023
9376,1.22,Ideal,J,VS2,61.0,55.0,6.92,6.96,4.23,2023
9377,1.2,Premium,F,SI2,59.9,58.0,6.96,6.9,4.15,2023
9378,1.06,Ideal,D,SI1,62.7,54.0,6.55,6.52,4.1,2023
9379,1.21,Premium,H,VS1,61.2,60.0,6.77,6.86,4.17,2023
9380,1.03,Premium,D,SI1,61.2,54.0,6.61,6.53,4.02,2023
9381,1.02,Good,G,VS2,63.2,57.0,6.38,6.41,4.04,2023
9382,1.02,Premium,G,VS2,62.7,58.0,6.4,6.45,4.03,2023
9383,1.02,Very Good,G,VS2,60.5,54.0,6.48,6.57,3.95,2023
9384,1.03,Ideal,F,SI1,61.3,56.0,6.51,6.55,4.0,2023
9385,1.02,Good,G,VS1,64.3,57.0,6.34,6.28,4.06,2023
9386,1.06,Ideal,I,VS1,61.8,56.0,6.5,6.57,4.05,2023
9387,1.07,Ideal,E,SI2,62.5,57.0,6.56,6.5,4.08,2023
9388,1.07,Very Good,F,SI1,61.6,58.0,6.54,6.6,4.05,2023
9389,1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,2023
9390,1.17,Very Good,D,SI2,60.9,60.0,6.72,6.78,4.11,2023
9391,1.05,Very Good,D,SI1,59.3,58.0,6.68,6.74,3.98,2023
9392,1.49,Very Good,F,I1,62.6,53.6,7.28,7.31,4.57,2023
9393,1.02,Ideal,H,VS2,61.8,55.0,6.48,6.51,4.01,2023
9394,1.21,Premium,E,SI2,58.8,58.0,7.07,6.91,4.11,2023
9395,1.01,Good,G,VS1,62.7,57.0,6.33,6.42,4.0,2023
9396,1.01,Premium,F,VS1,62.6,58.0,6.37,6.48,4.02,2023
9397,1.01,Premium,D,SI1,62.0,60.0,6.37,6.4,3.96,2023
9398,1.25,Ideal,I,SI1,59.6,59.0,7.01,7.09,4.2,2023
9399,1.06,Ideal,I,VVS2,62.2,55.0,6.51,6.55,4.06,2023
9400,1.05,Very Good,G,VS2,62.8,58.0,6.44,6.48,4.06,2023
9401,1.05,Premium,G,VS2,61.8,58.0,6.52,6.59,4.05,2023
9402,1.14,Ideal,D,SI1,60.9,56.0,6.75,6.81,4.13,2023
9403,1.33,Very Good,H,SI2,60.8,59.0,7.07,7.11,4.31,2023
9404,1.22,Very Good,H,SI1,61.2,60.0,6.83,6.9,4.2,2023
9405,1.21,Premium,E,SI2,61.9,60.0,6.78,6.73,4.18,2023
9406,1.01,Very Good,F,VS2,61.0,57.0,6.42,6.5,3.94,2023
9407,1.25,Very Good,E,SI2,60.8,55.0,6.94,7.0,4.24,2023
9408,1.0,Ideal,D,SI1,62.7,57.0,6.34,6.38,3.99,2023
9409,1.0,Good,E,VS2,61.5,62.0,6.37,6.42,3.93,2023
9410,1.13,Ideal,H,SI1,61.5,56.0,6.69,6.71,4.12,2023
9411,1.18,Ideal,H,SI1,61.6,55.5,6.77,6.85,4.19,2023
9412,1.24,Ideal,I,VS2,62.0,55.0,6.9,6.87,4.27,2023
9413,1.11,Ideal,I,VS1,61.0,57.0,6.68,6.72,4.09,2023
9414,1.08,Ideal,D,SI1,61.8,56.0,6.62,6.69,4.11,2023
9415,1.34,Ideal,H,VS2,61.2,56.0,7.09,7.05,4.33,2023
9416,1.02,Good,G,VS2,63.8,59.0,6.34,6.27,4.02,2023
9417,1.01,Fair,D,VS2,65.2,57.0,6.23,6.19,4.05,2023
9418,1.01,Very Good,F,VS2,62.5,56.0,6.4,6.44,4.01,2023
9419,1.16,Ideal,H,SI1,61.8,54.0,6.74,6.81,4.19,2023
9420,1.25,Ideal,J,VVS2,61.1,57.0,6.94,6.91,4.23,2023
9421,1.25,Premium,I,VS2,61.0,59.0,6.98,6.89,4.23,2023
9422,1.26,Premium,E,SI2,62.9,59.0,6.85,6.82,4.3,2023
9423,1.52,Premium,H,SI2,62.6,60.0,7.34,7.3,4.58,2023
9424,1.35,Very Good,H,SI2,62.2,56.0,7.02,7.06,4.38,2023
9425,1.23,Ideal,H,SI2,62.1,55.9,6.82,6.85,4.24,2023
9426,1.11,Good,D,SI1,57.8,61.0,6.83,6.78,3.93,2023
9427,1.52,Ideal,J,SI2,62.7,56.0,7.28,7.2,4.54,2023
9428,1.01,Good,F,VS2,62.5,62.0,6.32,6.38,3.97,2023
9429,1.31,Premium,H,SI2,60.0,57.0,7.1,7.07,4.25,2023
9430,1.11,Ideal,I,SI1,61.7,57.0,6.61,6.64,4.09,2023
9431,2.06,Good,H,I1,64.3,58.0,8.03,7.99,5.15,2023
9432,1.21,Premium,F,SI2,59.0,60.0,6.99,6.94,4.11,2023
9433,1.28,Premium,I,SI1,62.6,55.0,6.97,6.93,4.35,2023
9434,1.28,Premium,H,SI2,60.2,58.0,7.13,7.03,4.26,2023
9435,1.04,Very Good,G,VS2,62.3,54.0,6.49,6.55,4.06,2023
9436,1.14,Ideal,H,VS2,62.6,56.0,6.68,6.65,4.17,2023
9437,1.14,Premium,H,VS2,60.2,58.0,6.81,6.74,4.08,2023
9438,1.54,Ideal,H,SI2,61.8,57.0,7.43,7.35,4.57,2023
9439,1.31,Premium,H,VS2,59.6,58.0,7.14,7.08,4.24,2023
9440,1.05,Premium,G,VS2,63.0,57.0,6.51,6.48,4.09,2023
9441,1.08,Very Good,G,VS2,63.2,60.0,6.53,6.44,4.1,2023
9442,1.01,Ideal,D,SI1,63.0,57.0,6.43,6.34,4.02,2023
9443,1.29,Ideal,J,SI1,61.5,57.0,7.0,7.06,4.32,2023
9444,1.01,Premium,F,VS2,59.9,61.0,6.5,6.46,3.88,2023
9445,1.01,Premium,F,VS2,61.1,59.0,6.44,6.35,3.91,2023
9446,1.01,Premium,F,VS2,62.0,59.0,6.45,6.38,3.98,2023
9447,1.01,Premium,F,VS2,62.4,58.0,6.43,6.36,3.99,2023
9448,1.01,Good,F,VS2,63.6,59.0,6.36,6.32,4.03,2023
9449,1.01,Premium,F,VS2,62.1,60.0,6.43,6.36,3.97,2023
9450,1.21,Premium,I,SI1,61.7,56.0,6.87,6.82,4.22,2023
9451,1.0,Very Good,F,VS1,58.1,62.0,6.57,6.62,3.83,2023
9452,1.0,Good,F,VS2,63.8,58.0,6.28,6.32,4.02,2023
9453,1.0,Very Good,F,VS1,58.4,63.0,6.58,6.47,3.81,2023
9454,1.12,Very Good,E,SI1,61.3,63.0,6.68,6.73,4.11,2023
9455,1.21,Ideal,H,SI2,61.1,56.0,6.92,6.87,4.21,2023
9456,1.21,Premium,H,SI2,58.8,60.0,6.99,6.95,4.1,2023
9457,1.1,Premium,E,SI1,60.7,55.0,6.75,6.66,4.07,2023
9458,1.29,Very Good,I,VS2,61.3,58.0,6.98,7.04,4.3,2023
9459,1.31,Very Good,J,VS1,63.7,55.0,6.94,7.01,4.44,2023
9460,1.07,Very Good,G,VS2,61.9,60.0,6.48,6.55,4.03,2023
9461,1.02,Very Good,E,VS2,60.3,60.0,6.58,6.48,3.94,2023
9462,1.02,Very Good,I,VS2,61.5,57.0,6.4,6.44,3.95,2023
9463,1.01,Very Good,G,VS2,61.9,56.0,6.34,6.42,3.95,2023
9464,1.15,Ideal,H,SI1,62.4,54.0,6.71,6.76,4.2,2023
9465,1.01,Premium,D,VS2,59.2,56.0,6.48,6.43,3.82,2023
9466,1.01,Premium,G,VS2,60.6,61.0,6.4,6.33,3.86,2023
9467,1.01,Ideal,G,VS2,62.4,56.0,6.41,6.37,3.99,2023
9468,1.01,Premium,G,VS2,58.5,61.0,6.57,6.52,3.83,2023
9469,1.01,Very Good,G,VS2,63.1,59.0,6.4,6.37,4.03,2023
9470,1.01,Premium,G,VS2,62.4,58.0,6.41,6.38,3.99,2023
9471,1.01,Ideal,G,VS2,61.8,56.0,6.45,6.42,3.98,2023
9472,1.01,Premium,G,VS2,61.6,60.0,6.51,6.42,3.98,2023
9473,1.47,Fair,F,SI2,65.9,59.0,6.99,6.94,4.59,2023
9474,1.01,Premium,G,VS2,61.5,60.0,6.45,6.42,3.96,2023
9475,1.01,Premium,G,VS2,59.2,59.0,6.59,6.52,3.88,2023
9476,1.12,Ideal,H,VS2,61.8,55.0,6.64,6.7,4.12,2023
9477,1.24,Ideal,F,SI2,61.7,57.0,6.91,6.86,4.25,2023
9478,1.07,Premium,D,SI1,60.2,55.0,6.68,6.64,4.01,2023
9479,1.18,Ideal,G,SI1,62.5,55.0,6.77,6.74,4.22,2023
9480,1.06,Ideal,E,SI1,61.8,56.0,6.59,6.52,4.05,2023
9481,1.0,Very Good,D,VS2,63.4,57.0,6.36,6.32,4.02,2023
9482,1.5,Very Good,I,SI2,63.2,52.0,7.28,7.24,4.59,2023
9483,1.0,Premium,G,VS1,59.2,60.0,6.6,6.54,3.89,2023
9484,1.0,Fair,F,VS1,65.0,59.0,6.19,6.14,4.01,2023
9485,1.12,Premium,H,VS1,61.6,58.0,6.64,4.11,3.7,2023
9486,1.0,Premium,G,VS1,60.6,59.0,6.48,6.42,3.91,2023
9487,1.33,Ideal,J,VS1,61.3,57.0,7.11,7.08,4.35,2023
9488,1.22,Premium,I,VS1,61.1,58.0,6.91,6.84,4.2,2023
9489,1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,2023
9490,1.21,Very Good,D,SI2,62.3,59.0,6.74,6.78,4.21,2023
9491,1.02,Very Good,G,VS1,62.0,59.0,6.39,6.45,3.98,2023
9492,1.53,Premium,J,SI1,60.1,59.0,7.52,7.5,4.51,2023
9493,1.19,Very Good,G,SI1,62.8,57.0,6.71,6.77,4.23,2023
9494,1.01,Very Good,E,VS2,62.7,60.0,6.31,6.38,3.98,2023
9495,1.52,Fair,H,SI2,64.9,58.0,7.16,7.13,4.64,2023
9496,1.2,Premium,H,SI1,62.9,56.0,6.8,6.74,4.26,2023
9497,1.2,Very Good,E,SI2,61.4,58.0,6.81,6.88,4.2,2023
9498,1.05,Very Good,H,VS1,59.5,56.0,6.62,6.68,3.96,2023
9499,1.12,Very Good,D,SI1,59.9,57.0,6.76,6.8,4.06,2023
9500,1.01,Ideal,G,VS2,60.4,61.0,6.45,6.5,3.91,2023
9501,1.22,Ideal,F,SI2,61.7,54.9,6.84,6.9,4.24,2023
9502,1.01,Ideal,E,SI1,61.1,55.0,6.47,6.52,3.97,2023
9503,1.0,Premium,H,VVS1,62.3,60.0,6.36,6.28,3.94,2023
9504,1.5,Premium,I,SI2,62.9,57.0,7.28,7.26,4.57,2023
9505,1.16,Premium,G,SI1,62.5,58.0,6.73,6.68,4.19,2023
9506,1.04,Ideal,H,VS2,62.2,57.0,6.46,6.49,4.03,2023
9507,1.0,Ideal,H,VS2,61.2,60.0,6.4,6.45,3.93,2023
9508,1.13,Ideal,G,SI1,62.0,55.0,6.68,6.71,4.15,2023
9509,1.09,Ideal,D,SI1,61.9,57.0,6.57,6.61,4.08,2023
9510,1.09,Ideal,D,SI1,62.7,56.0,6.55,6.59,4.12,2023
9511,1.21,Ideal,I,VS2,62.0,60.0,6.77,6.84,4.22,2023
9512,1.66,Ideal,F,I1,62.1,58.0,7.6,7.56,4.71,2023
9513,1.31,Premium,J,VS2,60.7,58.0,7.1,7.07,4.3,2023
9514,1.04,Very Good,D,SI1,58.9,58.0,6.66,6.69,3.93,2023
9515,1.17,Ideal,G,VS2,61.5,57.0,6.86,6.8,4.2,2023
9516,1.2,Ideal,D,SI2,60.2,57.0,6.88,6.93,4.16,2023
9517,1.29,Premium,I,SI1,62.1,57.0,7.03,6.92,4.33,2023
9518,1.29,Premium,I,SI1,62.1,58.0,7.07,6.91,4.34,2023
9519,1.29,Premium,I,SI1,62.2,58.0,7.03,6.96,4.35,2023
9520,1.04,Very Good,H,VS1,61.2,55.0,6.54,6.56,4.01,2023
9521,1.14,Premium,G,VS2,61.9,58.0,6.68,6.72,4.15,2023
9522,1.4,Very Good,J,SI1,63.5,58.0,7.05,7.09,4.49,2023
9523,1.03,Ideal,G,VS2,59.6,57.0,6.65,6.6,3.95,2023
9524,1.05,Premium,G,VS1,61.8,58.0,6.54,6.51,4.03,2023
9525,1.1,Ideal,F,SI1,61.4,55.0,6.65,6.68,4.09,2023
9526,1.03,Premium,G,VS2,62.1,57.0,6.48,6.41,4.0,2023
9527,1.03,Premium,G,VS2,62.3,57.0,6.51,6.43,4.03,2023
9528,1.32,Good,J,VS1,62.6,62.0,6.92,7.01,4.36,2023
9529,1.37,Very Good,G,SI2,62.4,58.0,7.0,7.1,4.4,2023
9530,1.3,Very Good,F,SI2,61.1,58.0,6.98,7.02,4.28,2023
9531,1.22,Premium,I,VS2,60.6,58.0,6.93,6.89,4.19,2023
9532,2.08,Premium,H,I1,61.7,57.0,8.23,8.18,5.06,2023
9533,1.01,Very Good,G,VS1,62.8,58.0,6.34,6.37,3.99,2023
9534,1.33,Good,D,SI2,59.0,64.0,7.22,7.12,4.23,2023
9535,1.22,Premium,H,SI1,62.4,58.0,6.82,6.77,4.24,2023
9536,1.09,Premium,G,VS2,60.6,62.0,6.68,6.58,4.02,2023
9537,1.0,Premium,F,VS2,62.5,54.0,6.33,6.3,3.95,2023
9538,1.51,Fair,I,SI2,66.0,57.0,7.14,7.0,4.7,2023
9539,1.19,Very Good,D,SI2,61.1,58.0,6.84,6.88,4.19,2023
9540,1.02,Ideal,D,SI1,61.3,56.0,6.48,6.53,3.99,2023
9541,1.02,Ideal,D,SI1,62.8,56.0,6.44,6.39,4.03,2023
9542,1.01,Ideal,G,VS2,61.6,57.0,6.41,6.44,3.96,2023
9543,1.01,Very Good,F,VS2,62.7,56.0,6.37,6.43,4.01,2023
9544,1.01,Very Good,F,VS2,62.0,59.0,6.38,6.42,3.97,2023
9545,1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,2023
9546,1.01,Very Good,F,VS2,61.3,61.0,6.34,6.38,3.9,2023
9547,1.01,Premium,F,VS2,60.7,60.0,6.51,6.58,3.97,2023
9548,1.0,Premium,G,VS2,61.9,58.0,6.45,6.41,3.98,2023
9549,1.0,Good,E,VS2,57.4,58.0,6.61,6.57,3.78,2023
9550,1.27,Very Good,H,SI1,63.2,56.0,6.92,6.88,4.36,2023
9551,1.0,Good,D,VS2,65.7,55.0,6.17,6.22,4.07,2023
9552,1.01,Premium,G,VS1,62.4,59.0,6.38,6.35,3.97,2023
9553,1.03,Very Good,G,VS2,62.9,56.0,6.43,6.45,4.05,2023
9554,1.28,Premium,H,SI2,62.0,57.0,7.0,6.94,4.32,2023
9555,1.01,Premium,F,VS2,63.0,58.0,6.4,6.34,4.01,2023
9556,1.05,Ideal,H,VS2,62.6,56.0,6.45,6.5,4.05,2023
9557,0.3,Ideal,H,VVS2,61.3,56.0,4.33,4.35,2.66,2023
9558,0.3,Very Good,G,VS1,61.7,60.0,4.24,4.28,2.63,2023
9559,0.3,Good,G,VS1,63.6,55.0,4.27,4.31,2.73,2023
9560,0.3,Ideal,F,VS2,60.9,56.0,4.32,4.35,2.64,2023
9561,0.3,Very Good,G,VS1,62.1,60.0,4.24,4.3,2.65,2023
9562,0.3,Ideal,F,VS2,62.1,55.0,4.26,4.31,2.66,2023
9563,0.36,Very Good,G,SI1,61.8,57.8,4.52,4.58,2.81,2023
9564,0.35,Ideal,I,SI1,61.3,54.0,4.56,4.51,2.78,2023
9565,0.38,Very Good,I,VS1,60.1,60.0,4.66,4.72,2.82,2023
9566,0.3,Ideal,D,VS2,59.5,56.0,4.37,4.41,2.61,2023
9567,0.41,Good,J,VS2,64.3,55.0,4.66,4.7,3.01,2023
9568,0.37,Ideal,E,SI1,61.4,56.0,4.6,4.65,2.84,2023
9569,0.32,Very Good,G,VVS2,64.0,55.0,4.31,4.35,2.77,2023
9570,0.29,Very Good,G,VVS1,61.6,56.0,4.24,4.27,2.62,2023
9571,0.29,Very Good,G,VVS1,62.0,55.0,4.27,4.29,2.65,2023
9572,0.29,Very Good,G,VVS1,61.5,57.0,4.24,4.27,2.62,2023
9573,0.29,Very Good,G,VVS1,61.4,56.0,4.25,4.28,2.62,2023
9574,1.04,Very Good,H,VVS2,59.1,60.0,6.6,6.66,3.92,2023
9575,1.1,Ideal,F,VS2,60.0,57.0,6.76,6.71,4.04,2023
9576,1.2,Very Good,I,VS1,62.4,56.0,6.78,6.74,4.22,2023
9577,1.12,Ideal,E,SI2,61.6,56.0,6.69,6.71,4.13,2023
9578,1.02,Very Good,G,VS2,63.4,59.0,6.32,6.3,4.0,2023
9579,1.2,Ideal,H,SI1,61.9,54.0,6.8,6.86,4.23,2023
9580,1.06,Very Good,E,SI1,59.8,56.0,6.63,6.67,3.98,2023
9581,1.02,Premium,G,VS2,62.7,58.0,6.45,6.4,4.03,2023
9582,1.02,Very Good,G,VS2,63.2,57.0,6.41,6.38,4.04,2023
9583,1.02,Ideal,G,VS2,62.8,57.0,6.46,6.41,4.04,2023
9584,1.02,Premium,G,VS2,59.2,59.0,6.66,6.58,3.92,2023
9585,1.02,Premium,G,VS2,62.1,59.0,6.47,6.41,4.0,2023
9586,1.02,Premium,G,VS2,60.5,54.0,6.57,6.48,3.95,2023
9587,1.02,Premium,G,VS2,59.8,58.0,6.58,6.54,3.92,2023
9588,1.02,Ideal,G,VS2,61.9,53.0,6.5,6.48,4.02,2023
9589,1.51,Very Good,J,SI2,63.2,58.0,7.28,7.25,4.59,2023
9590,1.23,Premium,E,SI2,62.4,60.0,6.82,6.78,4.24,2023
9591,1.51,Premium,I,SI2,61.3,55.0,7.41,7.36,4.53,2023
9592,1.28,Good,G,SI1,57.6,62.0,7.17,7.13,4.12,2023
9593,1.49,Ideal,F,I1,62.6,54.0,7.31,7.28,4.57,2023
9594,1.38,Premium,J,VS2,60.2,59.0,7.29,7.19,4.36,2023
9595,1.01,Good,D,VS2,64.2,60.0,6.35,6.32,4.07,2023
9596,1.01,Ideal,G,VS1,62.9,57.0,6.43,6.39,4.03,2023
9597,1.01,Good,D,VS2,64.0,58.0,6.3,6.24,4.01,2023
9598,1.01,Premium,D,SI1,62.0,60.0,6.4,6.37,3.96,2023
9599,1.04,Ideal,G,VS2,62.6,55.0,6.45,6.49,4.05,2023
9600,1.04,Ideal,G,VS2,61.4,57.0,6.5,6.53,4.0,2023
9601,1.04,Very Good,G,VS2,61.9,57.0,6.46,6.5,4.01,2023
9602,1.04,Premium,G,VS2,62.5,58.0,6.43,6.47,4.03,2023
9603,1.0,Good,G,VS1,62.4,62.0,6.33,6.37,3.96,2023
9604,1.11,Good,E,SI1,61.4,57.5,6.62,6.66,4.08,2023
9605,1.21,Ideal,H,SI1,61.1,57.0,6.91,6.83,4.2,2023
9606,1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,2023
9607,1.05,Premium,G,VS2,62.8,58.0,6.48,6.44,4.06,2023
9608,1.37,Premium,F,SI2,62.8,57.0,7.12,7.08,4.46,2023
9609,1.05,Premium,G,VS2,61.8,58.0,6.59,6.52,4.05,2023
9610,1.2,Premium,F,VS2,61.4,58.0,6.8,6.75,4.16,2023
9611,1.2,Good,H,SI1,64.2,60.0,6.68,6.62,4.27,2023
9612,1.0,Good,F,VS2,63.2,59.0,6.3,6.35,4.0,2023
9613,1.0,Very Good,F,VS2,62.2,57.0,6.4,6.43,3.99,2023
9614,1.0,Good,H,VVS1,63.5,60.0,6.3,6.36,4.02,2023
9615,1.0,Very Good,F,VS2,62.9,59.0,6.4,6.47,4.02,2023
9616,1.03,Premium,E,VS2,62.5,59.0,6.44,6.42,4.02,2023
9617,1.03,Ideal,F,SI1,62.1,56.0,6.5,6.46,4.03,2023
9618,1.54,Ideal,G,I1,61.6,55.0,7.4,7.43,4.57,2023
9619,1.0,Good,G,VS1,63.9,60.0,6.3,6.35,4.04,2023
9620,1.21,Very Good,H,VS2,62.9,57.0,6.75,6.8,4.26,2023
9621,1.0,Good,D,VS2,60.8,61.0,6.33,6.4,3.87,2023
9622,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,2023
9623,1.0,Very Good,D,VS2,61.2,61.0,6.35,6.39,3.9,2023
9624,1.21,Very Good,G,SI1,62.2,60.0,6.71,6.73,4.18,2023
9625,1.33,Ideal,J,VS1,62.4,55.0,7.02,7.05,4.39,2023
9626,1.21,Ideal,D,SI2,62.0,57.0,6.81,6.83,4.23,2023
9627,1.18,Ideal,I,VS2,62.3,55.6,6.73,6.76,4.21,2023
9628,1.02,Ideal,D,SI1,62.3,57.0,6.41,6.44,4.0,2023
9629,1.54,Premium,J,VS1,60.9,61.0,7.49,7.45,4.55,2023
9630,1.58,Premium,F,SI2,59.1,59.0,7.68,7.59,4.51,2023
9631,1.23,Premium,I,VS2,59.3,59.0,7.13,6.97,4.18,2023
9632,1.35,Ideal,I,SI1,62.3,57.0,7.11,7.05,4.41,2023
9633,1.23,Ideal,H,SI2,62.1,56.0,6.85,6.82,4.24,2023
9634,1.07,Ideal,F,SI1,62.3,56.0,6.51,6.53,4.06,2023
9635,1.22,Ideal,J,VS1,61.4,58.0,6.85,6.87,4.21,2023
9636,1.16,Premium,H,VS2,62.3,56.0,6.77,6.68,4.19,2023
9637,1.01,Very Good,G,VS2,62.5,59.0,6.34,6.37,3.97,2023
9638,1.01,Very Good,F,VS2,59.2,60.0,6.46,6.51,3.84,2023
9639,1.02,Very Good,H,VS1,61.4,56.5,6.44,6.47,3.97,2023
9640,1.04,Premium,G,VS2,62.3,54.0,6.55,6.49,4.06,2023
9641,1.23,Premium,I,VS2,61.1,60.0,6.95,6.89,4.23,2023
9642,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,2023
9643,1.0,Premium,G,VVS2,62.8,57.0,6.38,6.29,3.98,2023
9644,1.12,Ideal,G,VS2,62.1,57.0,6.6,6.63,4.11,2023
9645,1.1,Premium,D,VS2,60.0,59.0,6.67,6.6,3.98,2023
9646,1.0,Good,F,VS2,63.8,58.0,6.32,6.28,4.02,2023
9647,1.2,Good,F,VS1,64.0,56.0,6.63,6.58,4.23,2023
9648,1.28,Premium,H,SI1,62.1,62.0,6.88,6.83,4.26,2023
9649,1.06,Very Good,G,VS2,60.1,58.0,6.64,6.67,4.0,2023
9650,1.06,Good,G,VS2,63.1,59.0,6.45,6.48,4.08,2023
9651,1.01,Very Good,G,VS2,60.2,58.0,6.51,6.54,3.93,2023
9652,1.07,Premium,G,VS2,61.9,60.0,6.55,6.48,4.03,2023
9653,1.24,Premium,H,SI1,60.1,58.0,7.04,7.01,4.22,2023
9654,1.02,Premium,E,VS2,61.9,62.0,6.47,6.38,3.98,2023
9655,1.51,Good,J,SI2,58.1,64.0,7.57,7.53,4.39,2023
9656,1.0,Premium,G,VS2,61.6,54.0,6.49,6.46,3.99,2023
9657,1.22,Premium,I,VS2,60.3,59.0,6.93,6.87,4.16,2023
9658,1.03,Very Good,F,VS2,63.4,62.0,6.34,6.31,4.01,2023
